Group,Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
All,SummerLab_IBA,0.027435486,Otu00037,1.32E-05,0.00439259,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.047400312,0.058102965,0.000154018,0.000521108
All,SummerWild_IBA,0.013270374,Otu00062,3.39E-05,0.00439259,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.023789104,0.018080241,0,0
All,SummerWild_IBA,0.011016921,Otu00091,3.39E-05,0.00439259,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.019694669,0.02592564,0,0
All,SummerWild_IBA,0.010771216,Otu00159,3.31E-05,0.00439259,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.019247792,0.028264126,0,0
All,SummerLab_Torpor,0.027725198,Otu00037,5.50E-05,0.005708604,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.047400312,0.058102965,1.17E-05,3.71E-05
All,SummerWild_SummerLab,0.013915708,Otu00062,0.000104125,0.006755096,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.023789104,0.018080241,0,0
All,SummerWild_SummerLab,0.011552671,Otu00091,0.000104125,0.006755096,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.019694669,0.02592564,0,0
All,SummerWild_SummerLab,0.011295018,Otu00159,0.000101365,0.006755096,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.019247792,0.028264126,0,0
All,SummerWild_Torpor,0.011055977,Otu00091,0.000184708,0.009586365,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.019694669,0.02592564,0,0
All,SummerWild_Torpor,0.010809407,Otu00159,0.000179431,0.009586365,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.019247792,0.028264126,0,0
All,SummerLab_IBA,0.015968772,Otu00032,0.000225873,0.010657091,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.027592525,0.057482603,9.02E-06,3.25E-05
All,SummerLab_Spring,0.028218196,Otu00037,0.000327948,0.011632295,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.047400312,0.058102965,0,0
All,IBA_Spring,0.040473052,Otu00045,0.000268998,0.011632295,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,9.98E-05,0.000106053,0.071894687,0.087797191
All,Torpor_Spring,0.040454601,Otu00045,0.000310583,0.011632295,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,3.51E-05,7.89E-05,0.071894687,0.087797191
